# path: /Users/alexander/code/worktrees/batch4/issue-26234/vlib/v/tests/fns/closure_struct_init_cov_regression_test.v
# build_options: -coverage .vtmp_cov_issue_24842 -os macos -arch arm64 -d macos
meta,point,hits
6d50e505084fd5de,0,1
6d50e505084fd5de,1,1
6d50e505084fd5de,3,1
6d50e505084fd5de,4,1
6d50e505084fd5de,5,1
6d50e505084fd5de,6,1
6d50e505084fd5de,7,1024
6d50e505084fd5de,8,1024
6d50e505084fd5de,9,1024
6d50e505084fd5de,10,1024
6d50e505084fd5de,11,1
6d50e505084fd5de,12,1
6d50e505084fd5de,13,1
6d50e505084fd5de,14,1
6d50e505084fd5de,15,1
6d50e505084fd5de,16,1
6d50e505084fd5de,17,1
6d50e505084fd5de,18,1
6d50e505084fd5de,19,1
6d50e505084fd5de,20,1
6d50e505084fd5de,21,1
6d50e505084fd5de,22,1
6d50e505084fd5de,23,1
6d50e505084fd5de,24,2
6d50e505084fd5de,25,2
6d50e505084fd5de,27,2
6d50e505084fd5de,28,2
6d50e505084fd5de,29,2
6d50e505084fd5de,30,2
6d50e505084fd5de,31,2
6d50e505084fd5de,32,2
6d50e505084fd5de,33,2
6d50e505084fd5de,34,2
6d50e505084fd5de,35,2
16eee80b78998534,0,1
16eee80b78998534,1,1
16eee80b78998534,2,1
16eee80b78998534,3,1
16eee80b78998534,5,1
16eee80b78998534,6,3
16eee80b78998534,7,3
16eee80b78998534,8,2
16eee80b78998534,9,1
16eee80b78998534,10,1
16eee80b78998534,11,1
16eee80b78998534,12,1
16eee80b78998534,13,1
16eee80b78998534,14,1
16eee80b78998534,15,1
16eee80b78998534,16,1
16eee80b78998534,17,2
16eee80b78998534,18,2
16eee80b78998534,19,2
16eee80b78998534,20,2
487d3b87f0df8836,9,9
487d3b87f0df8836,12,9
487d3b87f0df8836,13,9
487d3b87f0df8836,14,9
487d3b87f0df8836,15,9
487d3b87f0df8836,16,9
487d3b87f0df8836,18,9
487d3b87f0df8836,19,5
487d3b87f0df8836,21,5
487d3b87f0df8836,22,5
487d3b87f0df8836,23,5
487d3b87f0df8836,24,5
487d3b87f0df8836,25,5
487d3b87f0df8836,27,5
487d3b87f0df8836,28,4
487d3b87f0df8836,30,4
487d3b87f0df8836,31,2
487d3b87f0df8836,33,2
487d3b87f0df8836,34,2
487d3b87f0df8836,35,2
487d3b87f0df8836,36,2
487d3b87f0df8836,37,2
487d3b87f0df8836,39,2
487d3b87f0df8836,54,4
487d3b87f0df8836,56,2
487d3b87f0df8836,57,2
487d3b87f0df8836,58,2
487d3b87f0df8836,59,2
487d3b87f0df8836,61,1
487d3b87f0df8836,62,1
487d3b87f0df8836,64,4
487d3b87f0df8836,66,4
487d3b87f0df8836,67,4
487d3b87f0df8836,68,4
487d3b87f0df8836,69,5
487d3b87f0df8836,70,1
487d3b87f0df8836,71,4
487d3b87f0df8836,72,4
487d3b87f0df8836,73,4
487d3b87f0df8836,79,2
487d3b87f0df8836,81,2
487d3b87f0df8836,82,2
487d3b87f0df8836,83,2
a42fe78d1e64c2a4,0,2
a42fe78d1e64c2a4,1,1
a42fe78d1e64c2a4,2,1
0cb425df7db135b7,0,1
0cb425df7db135b7,1,1
0cb425df7db135b7,2,3
0cb425df7db135b7,3,3
0cb425df7db135b7,4,3
0cb425df7db135b7,5,3
0cb425df7db135b7,6,3
2ed1cdb4762188fb,0,3
2ed1cdb4762188fb,1,2
2ed1cdb4762188fb,2,1
0a48ed07efa6063a,0,3
0a48ed07efa6063a,9,3
25687967c80ba9b3,10,1
25687967c80ba9b3,11,1
25687967c80ba9b3,12,1
25687967c80ba9b3,13,1
25687967c80ba9b3,14,1
4a61b8b394a07899,0,1
ac872df2772d6ed0,0,2
ac872df2772d6ed0,2,1038
ac872df2772d6ed0,3,2
ac872df2772d6ed0,4,1036
ac872df2772d6ed0,5,1036
ac872df2772d6ed0,10,1
ac872df2772d6ed0,12,1
ac872df2772d6ed0,13,1
826971561acff881,14,1
826971561acff881,15,1
826971561acff881,21,1
826971561acff881,22,1
826971561acff881,23,1
1ff7ab82bcd11229,12,2
1ff7ab82bcd11229,14,2
1ff7ab82bcd11229,16,2
1ff7ab82bcd11229,18,2
1ff7ab82bcd11229,19,2
1ff7ab82bcd11229,33,1
1ff7ab82bcd11229,35,1
1ff7ab82bcd11229,36,1
1ff7ab82bcd11229,37,1
