# path: /Users/alexander/code/worktrees/batch14/issue-22008/vlib/v/tests/fns/closure_struct_init_cov_regression_test.v
# build_options: -coverage .vtmp_cov_issue_24842 -os macos -arch arm64 -d gcboehm -d gcboehm_full -d gcboehm_opt -d macos
meta,point,hits
63c605e8da6fcb8f,0,1
63c605e8da6fcb8f,1,1
63c605e8da6fcb8f,3,1
63c605e8da6fcb8f,4,1
63c605e8da6fcb8f,5,1
63c605e8da6fcb8f,6,1
63c605e8da6fcb8f,7,1024
63c605e8da6fcb8f,8,1024
63c605e8da6fcb8f,9,1024
63c605e8da6fcb8f,10,1024
63c605e8da6fcb8f,11,1
63c605e8da6fcb8f,12,1
63c605e8da6fcb8f,13,1
63c605e8da6fcb8f,14,1
63c605e8da6fcb8f,15,1
63c605e8da6fcb8f,16,1
63c605e8da6fcb8f,17,1
63c605e8da6fcb8f,18,1
63c605e8da6fcb8f,19,1
63c605e8da6fcb8f,20,1
63c605e8da6fcb8f,21,1
63c605e8da6fcb8f,22,1
63c605e8da6fcb8f,23,1
63c605e8da6fcb8f,24,2
63c605e8da6fcb8f,25,2
63c605e8da6fcb8f,27,2
63c605e8da6fcb8f,28,2
63c605e8da6fcb8f,29,2
63c605e8da6fcb8f,30,2
63c605e8da6fcb8f,31,2
63c605e8da6fcb8f,32,2
63c605e8da6fcb8f,33,2
63c605e8da6fcb8f,34,2
63c605e8da6fcb8f,35,2
1b20cf9415593b34,0,1
1b20cf9415593b34,1,1
1b20cf9415593b34,2,1
1b20cf9415593b34,3,1
1b20cf9415593b34,5,1
1b20cf9415593b34,6,3
1b20cf9415593b34,7,3
1b20cf9415593b34,8,2
1b20cf9415593b34,9,1
1b20cf9415593b34,10,1
1b20cf9415593b34,11,1
1b20cf9415593b34,12,1
1b20cf9415593b34,13,1
1b20cf9415593b34,14,1
1b20cf9415593b34,15,1
1b20cf9415593b34,16,1
1b20cf9415593b34,17,2
1b20cf9415593b34,18,2
1b20cf9415593b34,19,2
1b20cf9415593b34,20,2
04ab7b585f53e41d,9,7
04ab7b585f53e41d,12,7
04ab7b585f53e41d,13,7
04ab7b585f53e41d,14,7
04ab7b585f53e41d,15,7
04ab7b585f53e41d,16,7
04ab7b585f53e41d,18,7
04ab7b585f53e41d,19,7
