# path: /Users/alexander/code/worktrees/batch6/issue-26629/vlib/v/tests/fns/closure_struct_init_cov_regression_test.v
# build_options: -coverage .vtmp_cov_issue_24842 -os macos -arch arm64 -d gcboehm -d gcboehm_full -d gcboehm_opt -d macos
meta,point,hits
01449d8b636f9fbd,0,1
01449d8b636f9fbd,1,1
01449d8b636f9fbd,3,1
01449d8b636f9fbd,4,1
01449d8b636f9fbd,5,1
01449d8b636f9fbd,6,1
01449d8b636f9fbd,7,1024
01449d8b636f9fbd,8,1024
01449d8b636f9fbd,9,1024
01449d8b636f9fbd,10,1024
01449d8b636f9fbd,11,1
01449d8b636f9fbd,12,1
01449d8b636f9fbd,13,1
01449d8b636f9fbd,14,1
01449d8b636f9fbd,15,1
01449d8b636f9fbd,16,1
01449d8b636f9fbd,17,1
01449d8b636f9fbd,18,1
01449d8b636f9fbd,19,1
01449d8b636f9fbd,20,1
01449d8b636f9fbd,21,1
01449d8b636f9fbd,22,1
01449d8b636f9fbd,23,1
01449d8b636f9fbd,24,2
01449d8b636f9fbd,25,2
01449d8b636f9fbd,27,2
01449d8b636f9fbd,28,2
01449d8b636f9fbd,29,2
01449d8b636f9fbd,30,2
01449d8b636f9fbd,31,2
01449d8b636f9fbd,32,2
01449d8b636f9fbd,33,2
01449d8b636f9fbd,34,2
01449d8b636f9fbd,35,2
c1b2989c27409543,0,1
c1b2989c27409543,1,1
c1b2989c27409543,2,1
c1b2989c27409543,3,1
c1b2989c27409543,5,1
c1b2989c27409543,6,3
c1b2989c27409543,7,3
c1b2989c27409543,8,2
c1b2989c27409543,9,1
c1b2989c27409543,10,1
c1b2989c27409543,11,1
c1b2989c27409543,12,1
c1b2989c27409543,13,1
c1b2989c27409543,14,1
c1b2989c27409543,15,1
c1b2989c27409543,16,1
c1b2989c27409543,17,2
c1b2989c27409543,18,2
c1b2989c27409543,19,2
c1b2989c27409543,20,2
daa1255667229bc0,9,7
daa1255667229bc0,12,7
daa1255667229bc0,13,7
daa1255667229bc0,14,7
daa1255667229bc0,15,7
daa1255667229bc0,16,7
daa1255667229bc0,18,7
daa1255667229bc0,19,7
daa1255667229bc0,21,7
daa1255667229bc0,22,7
daa1255667229bc0,23,7
daa1255667229bc0,24,7
daa1255667229bc0,25,7
daa1255667229bc0,26,7
daa1255667229bc0,28,7
daa1255667229bc0,29,4
daa1255667229bc0,31,4
daa1255667229bc0,32,2
daa1255667229bc0,34,2
daa1255667229bc0,35,2
daa1255667229bc0,36,2
daa1255667229bc0,37,2
daa1255667229bc0,38,2
daa1255667229bc0,40,2
daa1255667229bc0,53,2
daa1255667229bc0,55,1
daa1255667229bc0,56,1
daa1255667229bc0,57,1
daa1255667229bc0,59,2
daa1255667229bc0,60,2
daa1255667229bc0,62,2
daa1255667229bc0,63,2
daa1255667229bc0,64,2
daa1255667229bc0,65,2
daa1255667229bc0,67,4
daa1255667229bc0,69,4
daa1255667229bc0,70,5
daa1255667229bc0,71,1
daa1255667229bc0,72,4
daa1255667229bc0,73,4
daa1255667229bc0,74,4
daa1255667229bc0,80,2
daa1255667229bc0,82,2
daa1255667229bc0,83,2
daa1255667229bc0,84,2
6c7c29c340ee93cb,0,2
6c7c29c340ee93cb,1,1
6c7c29c340ee93cb,2,1
52f3c207a0d17d64,0,1
52f3c207a0d17d64,1,1
52f3c207a0d17d64,2,2
52f3c207a0d17d64,3,2
52f3c207a0d17d64,4,2
52f3c207a0d17d64,5,3
52f3c207a0d17d64,6,3
52f3c207a0d17d64,7,3
52f3c207a0d17d64,8,3
52f3c207a0d17d64,9,1
52f3c207a0d17d64,10,2
52f3c207a0d17d64,16,1
52f3c207a0d17d64,19,2
52f3c207a0d17d64,130,2
52f3c207a0d17d64,132,2
52f3c207a0d17d64,134,2
52f3c207a0d17d64,136,2
52f3c207a0d17d64,137,2
52f3c207a0d17d64,151,1
52f3c207a0d17d64,153,1
52f3c207a0d17d64,154,1
52f3c207a0d17d64,155,1
52f3c207a0d17d64,156,1
52f3c207a0d17d64,157,1
2a51efd938bc508f,0,1
2a51efd938bc508f,1,1
2a51efd938bc508f,2,1
d549a55b492fabb0,6,4
d549a55b492fabb0,8,4
d549a55b492fabb0,10,1
d549a55b492fabb0,11,1
d549a55b492fabb0,12,1
d549a55b492fabb0,13,1
d549a55b492fabb0,14,1
e1e25b3860feb5d1,0,1
557eda5b826a0e94,0,1
38a9f2097cdac9dd,0,1
38a9f2097cdac9dd,1,1
38a9f2097cdac9dd,2,1
6cf8d7b2795236b9,0,2
6cf8d7b2795236b9,2,1038
6cf8d7b2795236b9,3,2
6cf8d7b2795236b9,4,1036
6cf8d7b2795236b9,5,1036
6cf8d7b2795236b9,10,1
6cf8d7b2795236b9,12,1
6cf8d7b2795236b9,13,1
c7f986b1be67f4b2,17,1
c7f986b1be67f4b2,18,1
c7f986b1be67f4b2,24,1
c7f986b1be67f4b2,25,1
c7f986b1be67f4b2,26,1
5744431b920a943d,11,3
5744431b920a943d,13,3
5744431b920a943d,15,3
5744431b920a943d,16,1
5744431b920a943d,18,1
5744431b920a943d,19,1
5744431b920a943d,24,2
5744431b920a943d,25,1
5744431b920a943d,27,1
5744431b920a943d,28,1
5744431b920a943d,33,1
5744431b920a943d,34,1
5744431b920a943d,36,1
5744431b920a943d,37,1
00588952a4fa7986,215,1
00588952a4fa7986,216,1
8dae1d84e692f448,0,2
8dae1d84e692f448,1,2
8dae1d84e692f448,3,1
8dae1d84e692f448,4,1
8dae1d84e692f448,11,1
8dae1d84e692f448,12,1
8dae1d84e692f448,13,1
99d514fabbf8786a,9,1
99d514fabbf8786a,10,1
99d514fabbf8786a,11,2
99d514fabbf8786a,13,2
99d514fabbf8786a,14,2
99d514fabbf8786a,16,2
99d514fabbf8786a,28,2
99d514fabbf8786a,30,2
99d514fabbf8786a,31,2
99d514fabbf8786a,32,2
99d514fabbf8786a,33,2
99d514fabbf8786a,34,2
99d514fabbf8786a,35,2
99d514fabbf8786a,37,2
99d514fabbf8786a,39,2
99d514fabbf8786a,40,2
99d514fabbf8786a,41,2
99d514fabbf8786a,42,2
99d514fabbf8786a,43,2
99d514fabbf8786a,44,1
99d514fabbf8786a,45,2
99d514fabbf8786a,46,4
99d514fabbf8786a,47,4
99d514fabbf8786a,48,2
99d514fabbf8786a,49,2
99d514fabbf8786a,50,2
99d514fabbf8786a,51,2
99d514fabbf8786a,52,2
99d514fabbf8786a,53,2
99d514fabbf8786a,57,2
99d514fabbf8786a,58,2
99d514fabbf8786a,59,2
99d514fabbf8786a,60,2
99d514fabbf8786a,61,2
99d514fabbf8786a,62,2
99d514fabbf8786a,63,2
99d514fabbf8786a,64,2
99d514fabbf8786a,65,2
99d514fabbf8786a,66,2
99d514fabbf8786a,67,2
99d514fabbf8786a,68,2
99d514fabbf8786a,69,2
99d514fabbf8786a,70,2
99d514fabbf8786a,71,2
99d514fabbf8786a,72,5
99d514fabbf8786a,85,1
99d514fabbf8786a,86,1
99d514fabbf8786a,87,1
99d514fabbf8786a,88,1
99d514fabbf8786a,89,1
99d514fabbf8786a,90,1
99d514fabbf8786a,91,1
99d514fabbf8786a,92,1
99d514fabbf8786a,93,1
99d514fabbf8786a,94,1
99d514fabbf8786a,95,1
99d514fabbf8786a,127,2
99d514fabbf8786a,129,2
99d514fabbf8786a,130,1
99d514fabbf8786a,131,1
99d514fabbf8786a,132,5
99d514fabbf8786a,133,2
99d514fabbf8786a,134,5
99d514fabbf8786a,135,1
99d514fabbf8786a,136,4
99d514fabbf8786a,138,1
99d514fabbf8786a,140,1
99d514fabbf8786a,141,1
99d514fabbf8786a,142,1
99d514fabbf8786a,144,1
99d514fabbf8786a,146,4
99d514fabbf8786a,148,4
99d514fabbf8786a,149,4
99d514fabbf8786a,150,1
99d514fabbf8786a,152,5
99d514fabbf8786a,153,5
99d514fabbf8786a,154,5
99d514fabbf8786a,155,1
99d514fabbf8786a,156,1
99d514fabbf8786a,159,4
99d514fabbf8786a,161,4
99d514fabbf8786a,162,4
99d514fabbf8786a,164,4
99d514fabbf8786a,166,4
99d514fabbf8786a,167,100
99d514fabbf8786a,168,100
99d514fabbf8786a,169,15
99d514fabbf8786a,170,15
99d514fabbf8786a,171,100
99d514fabbf8786a,172,2
99d514fabbf8786a,173,98
99d514fabbf8786a,174,2
99d514fabbf8786a,178,2
99d514fabbf8786a,180,2
99d514fabbf8786a,182,2
99d514fabbf8786a,200,11
99d514fabbf8786a,206,11
99d514fabbf8786a,207,9
99d514fabbf8786a,208,2
99d514fabbf8786a,209,2
99d514fabbf8786a,210,2
99d514fabbf8786a,211,2
99d514fabbf8786a,212,2
45a42e868c4251de,0,3
45a42e868c4251de,1,3
45a42e868c4251de,2,3
45a42e868c4251de,3,3
45a42e868c4251de,4,3
45a42e868c4251de,5,2
45a42e868c4251de,6,1
2cd23d442e28b32c,0,1
2cd23d442e28b32c,3,1
2cd23d442e28b32c,4,1
2cd23d442e28b32c,5,1
2cd23d442e28b32c,6,1
2cd23d442e28b32c,7,1
2cd23d442e28b32c,10,1
2cd23d442e28b32c,12,1
2cd23d442e28b32c,13,1
2cd23d442e28b32c,14,1
2cd23d442e28b32c,15,2
8ef57891399de907,0,1
8ef57891399de907,1,2
8ef57891399de907,2,1
8ef57891399de907,3,2
8ef57891399de907,4,2
8ef57891399de907,5,2
8ef57891399de907,6,2
8ef57891399de907,7,1
8ef57891399de907,8,1
8ef57891399de907,12,1
5179481f40ddbdcd,0,1
5179481f40ddbdcd,1,1
5179481f40ddbdcd,2,1
5179481f40ddbdcd,3,1
5179481f40ddbdcd,4,1
5179481f40ddbdcd,5,1
5179481f40ddbdcd,6,1
5179481f40ddbdcd,7,1
5179481f40ddbdcd,8,1
5179481f40ddbdcd,9,1
5179481f40ddbdcd,10,1
5179481f40ddbdcd,11,1
5179481f40ddbdcd,12,1
5179481f40ddbdcd,13,1
5179481f40ddbdcd,14,1
5179481f40ddbdcd,15,1
5179481f40ddbdcd,16,1
5179481f40ddbdcd,17,1
5179481f40ddbdcd,19,1
5179481f40ddbdcd,21,1
5179481f40ddbdcd,22,1
5179481f40ddbdcd,23,1
5179481f40ddbdcd,24,1
5179481f40ddbdcd,25,1
5179481f40ddbdcd,39,1
5179481f40ddbdcd,40,1
5179481f40ddbdcd,41,1
4ddfd1e6ae9d687e,0,1
4ddfd1e6ae9d687e,1,1
4ddfd1e6ae9d687e,2,1
4ddfd1e6ae9d687e,3,1
4ddfd1e6ae9d687e,4,1
4ddfd1e6ae9d687e,8,2
