# path: /Users/alexander/code/worktrees/batch7/issue-25852/vlib/v/tests/fns/closure_struct_init_cov_regression_test.v
# build_options: -coverage .vtmp_cov_issue_24842 -os macos -arch arm64 -d gcboehm -d gcboehm_full -d gcboehm_opt -d macos
meta,point,hits
e9a2040c21be63c2,0,1
e9a2040c21be63c2,1,1
e9a2040c21be63c2,3,1
e9a2040c21be63c2,4,1
e9a2040c21be63c2,5,1
e9a2040c21be63c2,6,1
e9a2040c21be63c2,7,1024
e9a2040c21be63c2,8,1024
e9a2040c21be63c2,9,1024
e9a2040c21be63c2,10,1024
e9a2040c21be63c2,11,1
e9a2040c21be63c2,12,1
e9a2040c21be63c2,13,1
e9a2040c21be63c2,14,1
e9a2040c21be63c2,15,1
e9a2040c21be63c2,16,1
e9a2040c21be63c2,17,1
e9a2040c21be63c2,18,1
e9a2040c21be63c2,19,1
e9a2040c21be63c2,20,1
e9a2040c21be63c2,21,1
e9a2040c21be63c2,22,1
e9a2040c21be63c2,23,1
e9a2040c21be63c2,24,1
e9a2040c21be63c2,25,2
e9a2040c21be63c2,26,2
e9a2040c21be63c2,28,2
e9a2040c21be63c2,29,2
e9a2040c21be63c2,30,2
e9a2040c21be63c2,31,2
e9a2040c21be63c2,32,2
e9a2040c21be63c2,33,2
e9a2040c21be63c2,34,2
e9a2040c21be63c2,35,2
e9a2040c21be63c2,36,2
e9a2040c21be63c2,37,2
e9a2040c21be63c2,38,2
2df6a268ba49cc97,0,1
2df6a268ba49cc97,1,1
2df6a268ba49cc97,2,1
2df6a268ba49cc97,3,1
2df6a268ba49cc97,5,1
2df6a268ba49cc97,6,3
2df6a268ba49cc97,7,3
2df6a268ba49cc97,8,2
2df6a268ba49cc97,9,1
2df6a268ba49cc97,10,1
2df6a268ba49cc97,11,1
2df6a268ba49cc97,12,1
2df6a268ba49cc97,13,1
2df6a268ba49cc97,14,1
2df6a268ba49cc97,15,1
2df6a268ba49cc97,16,1
2df6a268ba49cc97,17,2
2df6a268ba49cc97,18,2
2df6a268ba49cc97,19,2
2df6a268ba49cc97,20,2
06dbd6abd5fc2093,9,7
06dbd6abd5fc2093,12,7
06dbd6abd5fc2093,13,7
06dbd6abd5fc2093,14,7
06dbd6abd5fc2093,15,7
06dbd6abd5fc2093,16,7
06dbd6abd5fc2093,18,7
06dbd6abd5fc2093,19,7
06dbd6abd5fc2093,21,7
06dbd6abd5fc2093,22,7
06dbd6abd5fc2093,23,7
06dbd6abd5fc2093,24,7
06dbd6abd5fc2093,25,7
06dbd6abd5fc2093,26,7
06dbd6abd5fc2093,28,7
06dbd6abd5fc2093,29,4
06dbd6abd5fc2093,31,4
06dbd6abd5fc2093,32,2
06dbd6abd5fc2093,34,2
06dbd6abd5fc2093,35,2
06dbd6abd5fc2093,36,2
06dbd6abd5fc2093,37,2
06dbd6abd5fc2093,38,2
06dbd6abd5fc2093,40,2
06dbd6abd5fc2093,53,2
06dbd6abd5fc2093,55,1
06dbd6abd5fc2093,56,1
06dbd6abd5fc2093,57,1
06dbd6abd5fc2093,59,2
06dbd6abd5fc2093,60,2
06dbd6abd5fc2093,62,2
06dbd6abd5fc2093,63,2
06dbd6abd5fc2093,64,2
06dbd6abd5fc2093,65,2
06dbd6abd5fc2093,67,4
06dbd6abd5fc2093,69,4
06dbd6abd5fc2093,70,5
06dbd6abd5fc2093,71,1
06dbd6abd5fc2093,72,4
06dbd6abd5fc2093,73,4
06dbd6abd5fc2093,74,4
06dbd6abd5fc2093,80,2
06dbd6abd5fc2093,82,2
06dbd6abd5fc2093,83,2
06dbd6abd5fc2093,84,2
2aaad85ea8bacb6f,0,2
2aaad85ea8bacb6f,1,1
2aaad85ea8bacb6f,2,1
12d27c7a767f086c,0,1
12d27c7a767f086c,1,1
12d27c7a767f086c,2,2
12d27c7a767f086c,3,2
12d27c7a767f086c,4,2
12d27c7a767f086c,5,3
12d27c7a767f086c,6,3
12d27c7a767f086c,7,3
12d27c7a767f086c,8,3
12d27c7a767f086c,9,1
12d27c7a767f086c,10,2
12d27c7a767f086c,16,1
12d27c7a767f086c,19,2
12d27c7a767f086c,132,2
12d27c7a767f086c,134,2
12d27c7a767f086c,136,2
12d27c7a767f086c,138,2
12d27c7a767f086c,139,2
12d27c7a767f086c,153,1
12d27c7a767f086c,155,1
12d27c7a767f086c,156,1
12d27c7a767f086c,157,1
fc532a1ee5d3d256,0,1
fc532a1ee5d3d256,1,1
fc532a1ee5d3d256,2,1
2ba0e7b12632b190,0,1
2ba0e7b12632b190,1,1
ae84e863a446d80b,8,4
ae84e863a446d80b,10,5
ae84e863a446d80b,11,1
ae84e863a446d80b,12,1
ae84e863a446d80b,13,1
ae84e863a446d80b,14,1
41f9e0560395879c,0,1
dfbde20b5f85d7bd,0,1
fe56a232efae2ae0,0,1
fe56a232efae2ae0,1,1
fe56a232efae2ae0,2,1
c102427eaf3a8310,0,2
c102427eaf3a8310,2,1038
c102427eaf3a8310,3,2
c102427eaf3a8310,4,1036
c102427eaf3a8310,5,1036
c102427eaf3a8310,10,1
c102427eaf3a8310,12,1
c102427eaf3a8310,13,1
5487e378709d1044,17,1
5487e378709d1044,18,1
5487e378709d1044,24,1
5487e378709d1044,25,1
5487e378709d1044,26,1
0db9e31cc76c99fd,11,3
0db9e31cc76c99fd,13,3
0db9e31cc76c99fd,15,3
0db9e31cc76c99fd,16,1
0db9e31cc76c99fd,18,1
0db9e31cc76c99fd,19,1
0db9e31cc76c99fd,24,2
0db9e31cc76c99fd,25,1
0db9e31cc76c99fd,27,1
0db9e31cc76c99fd,28,1
0db9e31cc76c99fd,33,1
0db9e31cc76c99fd,34,1
0db9e31cc76c99fd,36,1
0db9e31cc76c99fd,37,1
fa586183e8101713,215,1
fa586183e8101713,216,1
1f0d64740e70bc26,0,2
1f0d64740e70bc26,1,2
1f0d64740e70bc26,3,1
1f0d64740e70bc26,4,1
1f0d64740e70bc26,11,1
1f0d64740e70bc26,12,1
1f0d64740e70bc26,13,1
fe89c1b5b240ea8a,9,1
fe89c1b5b240ea8a,10,1
fe89c1b5b240ea8a,11,1
fe89c1b5b240ea8a,12,1
fe89c1b5b240ea8a,13,2
fe89c1b5b240ea8a,15,2
fe89c1b5b240ea8a,16,2
fe89c1b5b240ea8a,18,2
fe89c1b5b240ea8a,30,2
fe89c1b5b240ea8a,32,2
fe89c1b5b240ea8a,33,2
fe89c1b5b240ea8a,34,2
fe89c1b5b240ea8a,35,2
fe89c1b5b240ea8a,36,2
fe89c1b5b240ea8a,37,2
fe89c1b5b240ea8a,39,2
fe89c1b5b240ea8a,41,2
fe89c1b5b240ea8a,42,2
fe89c1b5b240ea8a,43,2
fe89c1b5b240ea8a,44,2
fe89c1b5b240ea8a,45,2
fe89c1b5b240ea8a,46,1
fe89c1b5b240ea8a,47,2
fe89c1b5b240ea8a,48,4
fe89c1b5b240ea8a,49,4
fe89c1b5b240ea8a,50,2
fe89c1b5b240ea8a,51,2
fe89c1b5b240ea8a,52,2
fe89c1b5b240ea8a,53,2
fe89c1b5b240ea8a,54,2
fe89c1b5b240ea8a,55,2
fe89c1b5b240ea8a,59,2
fe89c1b5b240ea8a,60,2
fe89c1b5b240ea8a,61,2
fe89c1b5b240ea8a,62,2
fe89c1b5b240ea8a,63,2
fe89c1b5b240ea8a,64,2
fe89c1b5b240ea8a,65,2
fe89c1b5b240ea8a,66,2
fe89c1b5b240ea8a,67,2
fe89c1b5b240ea8a,68,2
fe89c1b5b240ea8a,69,2
fe89c1b5b240ea8a,70,2
fe89c1b5b240ea8a,71,2
fe89c1b5b240ea8a,72,2
fe89c1b5b240ea8a,73,2
fe89c1b5b240ea8a,74,5
fe89c1b5b240ea8a,87,1
fe89c1b5b240ea8a,88,1
fe89c1b5b240ea8a,89,1
fe89c1b5b240ea8a,90,1
fe89c1b5b240ea8a,91,1
fe89c1b5b240ea8a,92,1
fe89c1b5b240ea8a,93,1
fe89c1b5b240ea8a,94,1
